nombre_columna,tipo_dato,descripcion
oaci,string,Código OACI/ICAO (3 letras) de la aerolínea.
iata,string?,Código IATA (2 letras) de la aerolínea. No todas tienen este código.
nombre,string,Nombre completo de la aerolínea.
es_aerolinea_carga,bool,Verdadero si la aerolínea es exclusiva de carga.
pais_iso,string,País de la aerolínea en formato ISO 3166.
