nombre_columna,tipo_dato,descripcion
mes_id,int,"Año/mes en que se efectuaron las operaciones (por ejemplo, 200001 corresponde al año 2000 y mes 01)."
aeropuerto_oaci,string,Aeropuerto/Aeródromo OACI donde se informaron las operaciones realizadas.
internacional_domestico,string,"Operaciones corresponden a vuelos internacionales (I) o domésticos (D), de acuerdo con el campo `es_internacional` de la bitácora de aeropuertos."
n_operaciones,int,Número de operaciones de despegue y aterrizaje informadas en cada uno de los aeropuertos.
